,financial_year,town,room_type,min_selling_price,max_selling_price,min_selling_price_less_ahg_shg,max_selling_price_less_ahg_shg,project_id
154,2016,Bukit Panjang,3-room,147000.0,210000.0,72000.0,135000.0,44
155,2016,Bukit Panjang,4-room,239000.0,336000.0,179000.0,276000.0,44
156,2016,Bukit Panjang,5-room,315000.0,410000.0,310000.0,405000.0,44
157,2016,Punggol,2-room,80000.0,140000.0,4000.0,60000.0,45
158,2016,Punggol,3-room,163000.0,210000.0,88000.0,135000.0,45
159,2016,Punggol,4-room,257000.0,365000.0,197000.0,305000.0,45
160,2016,Punggol,5-room,329000.0,498000.0,324000.0,493000.0,45
161,2016,Sembawang,2-room,74000.0,116000.0,4000.0,36000.0,46
162,2016,Sembawang,3-room,151000.0,181000.0,76000.0,106000.0,46
163,2016,Sembawang,4-room,235000.0,300000.0,175000.0,240000.0,46
164,2016,Sembawang,5-room,311000.0,392000.0,306000.0,387000.0,46
165,2016,Yishun,2-room,79000.0,123000.0,4000.0,43000.0,47
166,2016,Yishun,3-room,156000.0,190000.0,81000.0,115000.0,47
167,2016,Yishun,4-room,251000.0,297000.0,191000.0,237000.0,47
169,2017,Bukit Batok,2-room,87000.0,164000.0,7000.0,84000.0,48
170,2017,Bukit Batok,3-room,171000.0,246000.0,96000.0,171000.0,48
171,2017,Bukit Batok,4-room,265000.0,321000.0,205000.0,261000.0,48
172,2017,Bukit Batok,5-room,353000.0,418000.0,348000.0,413000.0,48
173,2017,Choa Chu Kang,2-room,89000.0,139000.0,9000.0,59000.0,49
174,2017,Choa Chu Kang,3-room,182000.0,211000.0,107000.0,136000.0,49
175,2017,Choa Chu Kang,4-room,250000.0,340000.0,190000.0,280000.0,49
179,2017,Punggol,4-room,287000.0,347000.0,227000.0,287000.0,49
180,2017,Punggol,5-room,357000.0,434000.0,352000.0,429000.0,49
181,2017,Sengkang,2-room,78000.0,139000.0,4000.0,59000.0,50
182,2017,Sengkang,3-room,159000.0,215000.0,84000.0,140000.0,50
183,2017,Sengkang,4-room,252000.0,331000.0,192000.0,271000.0,50
184,2017,Sengkang,5-room,317000.0,402000.0,312000.0,397000.0,50
185,2017,Woodlands,2-room,71000.0,129000.0,4000.0,49000.0,51
186,2017,Woodlands,3-room,140000.0,189000.0,65000.0,114000.0,51
187,2017,Woodlands,4-room,225000.0,318000.0,165000.0,258000.0,51
188,2017,Woodlands,5-room,279000.0,401000.0,274000.0,396000.0,51
189,2017,Yishun,2-room,77000.0,113000.0,4000.0,33000.0,52
190,2017,Yishun,3-room,157000.0,177000.0,82000.0,102000.0,52
191,2017,Yishun,4-room,251000.0,291000.0,191000.0,231000.0,52
192,2017,Yishun,5-room,331000.0,378000.0,326000.0,373000.0,52
193,2018,Jurong West,2-room,95000.0,160000.0,15000.0,80000.0,53
194,2018,Jurong West,3-room,185000.0,243000.0,110000.0,168000.0,53
195,2018,Jurong West,4-room,257000.0,364000.0,197000.0,304000.0,53
196,2018,Jurong West,5-room,338000.0,457000.0,333000.0,452000.0,53
197,2018,Punggol,2-room,103000.0,158000.0,23000.0,78000.0,54
198,2018,Punggol,3-room,189000.0,243000.0,114000.0,168000.0,54
199,2018,Punggol,4-room,286000.0,362000.0,226000.0,302000.0,54
